Year,Ticker,Days,M1_point_to_point,M2_yearly,M3_yearly,M4_yearly,Risk_yearly,M2_global,M3_global,Risk_global
2021,AIR.PA,257,0.2499722229340593,0.27269336186958104,0.21878044751932887,0.2445580008930044,0.3289975460123999,0.19411496533328162,0.1516535745848138,0.2914803548289403
2021,ANF,251,0.6998536954670729,0.6700428633656992,0.5326558997566337,0.7034504997991071,0.5248155628183289,0.5312500218578778,0.3448969563233639,0.6074616142757232
2021,BA,251,-0.006906047198372844,0.05564155917340104,-0.006957613884217752,-0.006933465725714183,0.3538634811728471,0.07108335578606524,0.004375234501116706,0.365391498250025
2021,DGE.L,252,0.3693671090592048,0.32778833501632876,0.31434866891133995,0.3693671090592028,0.16297428812225173,-0.06884607128410342,-0.09608424809010681,0.23397160249744264
2021,DPZ,251,0.49942243055672875,0.43870585681836793,0.4066938521559734,0.5018442488946004,0.25050133492131155,0.03860755606393213,-0.005206511081838298,0.2962014096923317
2021,JPM,251,0.28963638551270376,0.27823916810602456,0.2553736946217802,0.2909439495564283,0.21354608480305626,0.23918512612404383,0.2100533872688724,0.24101581415292123
2021,MSFT,251,0.5578995964494611,0.46735182187011665,0.44510479035187256,0.5606537287175664,0.20932105030590212,0.1958466027862181,0.1585890048318302,0.2725215424039911
2021,NVDA,251,1.2447620114378442,0.913483251702729,0.8118210192880239,1.2520051998978294,0.44770097653729185,0.6303942891707615,0.5017908468139854,0.505089162982446
2021,SAP.DE,254,0.2057264742139182,0.20804627119653007,0.185609179718724,0.20395163970109675,0.21189063953324405,0.1602681154492759,0.12124012144732195,0.2795924935508196
2021,SPY,251,0.3050544453627644,0.27578123603970156,0.26730549658643743,0.30643949818014304,0.12935563949481965,0.15710233289710646,0.1431190374213288,0.16695862372514855
2021,XOM,251,0.5651233233359785,0.49344021650168535,0.4497493413496824,0.5679191237386993,0.29455608089069824,0.31709763758250203,0.2798617416692781,0.2724456313891517
2022,AIR.PA,257,-0.030379196668442465,0.0666078928811846,0.0021945212471079474,0.002196930971267941,0.35969549905109627,0.19411496533328162,0.1516535745848138,0.2914803548289403
2022,ANF,251,-0.34505431254366914,-0.1738038854602275,-0.42057459394538704,-0.34333060686551786,0.7104634988352061,0.5312500218578778,0.3448969563233639,0.6074616142757232
2022,BA,251,-0.08356583790139016,0.054072795689687564,-0.055516292449325835,-0.05400338905696678,0.46987610481227166,0.07108335578606524,0.004375234501116706,0.365391498250025
2022,DGE.L,250,-0.11033736957744,-0.07450019516400057,-0.10112944733645682,-0.09618397126447709,0.23121380413794343,-0.06884607128410342,-0.09608424809010681,0.23397160249744264
2022,DPZ,251,-0.366330423847255,-0.4186725751822583,-0.4780081164298841,-0.379982835364272,0.34366467121551203,0.03860755606393213,-0.005206511081838298,0.2962014096923317
2022,JPM,251,-0.1445104837606389,-0.09130629402512921,-0.13568496711821154,-0.126882350063925,0.2982941055845931,0.23918512612404383,0.2100533872688724,0.24101581415292123
2022,MSFT,251,-0.2768719455778804,-0.2678571381094811,-0.33015818963288257,-0.28118998385485094,0.3532152694803781,0.1958466027862181,0.1585890048318302,0.2725215424039911
2022,NVDA,251,-0.5143699021264172,-0.5017196032557432,-0.7012368482427226,-0.5040285171889947,0.6316464679666561,0.6303942891707615,0.5017908468139854,0.505089162982446
2022,SAP.DE,257,-0.20281763758276294,-0.19165070667976813,-0.22745698185802202,-0.20344331285087436,0.2675880786025612,0.1602681154492759,0.12124012144732195,0.2795924935508196
2022,SPY,251,-0.1864640727370841,-0.1720249911854101,-0.20139089818377273,-0.1824072264491834,0.24259241573153517,0.15710233289710646,0.1431190374213288,0.16695862372514855
2022,XOM,251,0.8047780124462114,0.6929046923972487,0.6306259917609298,0.8787863159795515,0.3514596374084084,0.31709763758250203,0.2798617416692781,0.2724456313891517
2023,AIR.PA,255,0.24512475791110533,0.2626556783655754,0.24161868134319084,0.27330856392110214,0.2049746270153517,0.19411496533328162,0.1516535745848138,0.2914803548289403
2023,ANF,250,2.7381355845219306,1.5034238808279203,1.3590463004584112,2.892479275343519,0.5210373766785926,0.5312500218578778,0.3448969563233639,0.6074616142757232
2023,BA,250,0.33404987192972424,0.35301648818298037,0.31612609885683507,0.37180322753882855,0.2711656067486148,0.07108335578606524,0.004375234501116706,0.365391498250025
2023,DGE.L,251,-0.20922380447768762,-0.22366266574096094,-0.2460436405135422,-0.21811189781739615,0.21327449435845955,-0.06884607128410342,-0.09608424809010681,0.23397160249744264
2023,DPZ,250,0.23228889244921547,0.23291021998672803,0.18957995502180972,0.20874176510010134,0.29511559670546356,0.03860755606393213,-0.005206511081838298,0.2962014096923317
2023,JPM,250,0.2964062206830478,0.2908618671188785,0.26931062090380503,0.3090616998287068,0.20723818561779767,0.23918512612404383,0.2100533872688724,0.24101581415292123
2023,MSFT,250,0.5834976285962352,0.49386226550610834,0.46230381886528304,0.5877276115560226,0.2496008194196014,0.1958466027862181,0.1585890048318302,0.2725215424039911
2023,NVDA,250,2.460983531776475,1.345224234819414,1.2306477591148088,2.423446386820713,0.46770452748396524,0.6303942891707615,0.5017908468139854,0.505089162982446
2023,SAP.DE,255,0.4561470361695721,0.40061356693381006,0.3818767902297944,0.4650315678096255,0.19220202378187226,0.1602681154492759,0.12124012144732195,0.2795924935508196
2023,SPY,250,0.2670923588284888,0.24298265790377224,0.23436594153184148,0.2641069968286227,0.1306505116119929,0.15710233289710646,0.1431190374213288,0.16695862372514855
2023,XOM,250,-0.029260177677637778,-0.03389604257274222,-0.06517887342634865,-0.06310013810031856,0.2505571797593846,0.31709763758250203,0.2798617416692781,0.2724456313891517
2024,AIR.PA,256,0.11463160877161416,0.14439617924697268,0.1173355861878145,0.1244967319497674,0.23346519928012105,0.19411496533328162,0.1516535745848138,0.2914803548289403
2024,ANF,252,0.6432498100829294,0.6910547495790348,0.5272620034507733,0.6942870001414845,0.5714959337090795,0.5312500218578778,0.3448969563233639,0.6074616142757232
2024,BA,252,-0.2969494603512395,-0.32772588815051595,-0.3870671575781163,-0.32095450965525507,0.3453883255575276,0.07108335578606524,0.004375234501116706,0.365391498250025
2024,DGE.L,253,-0.09975303596252927,-0.09843500644187787,-0.11748235685652603,-0.11084380088154777,0.19533435659616047,-0.06884607128410342,-0.09608424809010681,0.23397160249744264
2024,DPZ,252,0.02950720460651879,0.0715297784095521,0.031285428520112776,0.03177996128868599,0.2857631627968403,0.03860755606393213,-0.005206511081838298,0.2962014096923317
2024,JPM,252,0.42627905352018813,0.39412977069180744,0.3666420671641029,0.44288137205475286,0.23320318288611971,0.23918512612404383,0.2100533872688724,0.24101581415292123
2024,MSFT,252,0.14501563538983597,0.14159041128922134,0.12157432448329318,0.12927329546029132,0.20067630095654987,0.1958466027862181,0.1585890048318302,0.2725215424039911
2024,NVDA,252,1.7887410163379123,1.1357094337554294,0.9978680681495685,1.7124928099396413,0.5206461964786577,0.6303942891707615,0.5017908468139854,0.505089162982446
2024,SAP.DE,254,0.7423139897428273,0.562827104688741,0.5355025560818896,0.7083065464077896,0.231021627577288,0.1602681154492759,0.12124012144732195,0.2795924935508196
2024,SPY,252,0.2558931400680844,0.23021603690914927,0.22223494909312413,0.24886476304115446,0.1258496332406111,0.15710233289710646,0.1431190374213288,0.16695862372514855
2024,XOM,252,0.08674635551878573,0.12518916035207117,0.10671421874244462,0.11261624417136118,0.19250333286361743,0.31709763758250203,0.2798617416692781,0.2724456313891517
2025,AIR.PA,255,0.26676499976681867,0.30631660654191845,0.2673276631488137,0.3064684577737362,0.27954618809561005,0.19411496533328162,0.1516535745848138,0.2914803548289403
2025,ANF,250,-0.17860872987114962,0.04384573145825021,-0.1732208303351267,-0.1590481133487862,0.6524392859348306,0.5312500218578778,0.3448969563233639,0.6074616142757232
2025,BA,250,0.26328039381828594,0.27610398385871127,0.20593484455191655,0.22867314663783644,0.37441833912450845,0.07108335578606524,0.004375234501116706,0.365391498250025
2025,DGE.L,253,-0.3702987384098858,-0.4220980255194117,-0.45676391670392663,-0.3666701589889054,0.2625580846036512,-0.06884607128410342,-0.09608424809010681,0.23397160249744264
2025,DPZ,250,-0.026349272945768165,0.0446353480097957,0.008869624055753946,0.008909075725427984,0.2679090887164241,0.03860755606393213,-0.005206511081838298,0.2962014096923317
2025,JPM,250,0.37100440971282533,0.350435957248325,0.3192867107897415,0.37614582420579157,0.2496361264385661,0.23918512612404383,0.2100533872688724,0.24101581415292123
2025,MSFT,250,0.16390548091964718,0.17497665906290805,0.1459880409160031,0.15718234912713291,0.24034175845398859,0.1958466027862181,0.1585890048318302,0.2725215424039911
2025,NVDA,250,0.3487890031861387,0.4547561892083164,0.33133269984439995,0.39282310726257696,0.4982376729578383,0.6303942891707615,0.5017908468139854,0.505089162982446
2025,SAP.DE,253,-0.11870400559133432,-0.07365312040582052,-0.11642294585343281,-0.10990131987150664,0.29270548867213025,0.1602681154492759,0.12124012144732195,0.2795924935508196
2025,SPY,250,0.18009018302598934,0.1831896798005192,0.1644357598840023,0.17872784550584742,0.1932593210405607,0.15710233289710646,0.1431190374213288,0.16695862372514855
2025,XOM,250,0.16258159326471322,0.17697315594751242,0.1494089320393628,0.16114772264183586,0.23553474768383012,0.31709763758250203,0.2798617416692781,0.2724456313891517
2026,AIR.PA,169,-0.013821340541022242,0.07111720567066498,0.018557601721178953,0.018730864130746427,0.3246832798598015,0.19411496533328162,0.1516535745848138,0.2914803548289403
2026,ANF,166,0.1562954929785707,0.414794262761769,0.19454745674781823,0.21476113012976916,0.656219997678994,0.5312500218578778,0.3448969563233639,0.6074616142757232
2026,BA,166,-0.08776399489922215,-0.007789952113948698,-0.06675017265781578,-0.06457113214472276,0.34373621259704873,0.07108335578606524,0.004375234501116706,0.365391498250025
2026,DGE.L,167,0.06328605551061939,0.15378489163437903,0.09635700881232237,0.10115211483720121,0.34119662779156595,-0.06884607128410342,-0.09608424809010681,0.23397160249744264
2026,DPZ,166,-0.18662277711544173,-0.22661156770010818,-0.28307041060191646,-0.24653326605430104,0.3370598421680238,0.03860755606393213,-0.005206511081838298,0.2962014096923317
2026,JPM,166,0.10936294991195328,0.1992624662391637,0.17283617752808758,0.18867135805233004,0.23040222652705267,0.23918512612404383,0.2100533872688724,0.24101581415292123
2026,MSFT,166,0.07943576456531343,0.15143672015284504,0.08213912870856012,0.08560683840053107,0.37190324850862944,0.1958466027862181,0.1585890048318302,0.2725215424039911
2026,NVDA,166,0.17050184538203883,0.33502006957221037,0.25800305801201984,0.2943427767339548,0.3927933220537796,0.6303942891707615,0.5017908468139854,0.505089162982446
2026,SAP.DE,169,-0.03867300409240215,0.006134890616854664,-0.10533288542298802,-0.09997513244509892,0.47571180383963824,0.1602681154492759,0.12124012144732195,0.2795924935508196
2026,SPY,166,0.12874738815407527,0.19569258751979238,0.1866315446613846,0.20518314706789753,0.13446788897455775,0.15710233289710646,0.1431190374213288,0.16695862372514855
2026,XOM,166,0.33859553053554503,0.5131875089223249,0.4715660649594073,0.6025018511236868,0.2878156735210866,0.31709763758250203,0.2798617416692781,0.2724456313891517
